연번 ,구분 ,관리기관명,운영노선명 ,역명,소재지도로명주소 ,소재지지번주소 ,위도 ,경도 ,지상 또는 지하 구분,역층,게이트 내외 구분,(근접) 출입구 번호,상세위치 ,전화번호 ,개방시간 ,화장실 설치장소 유형,오물처리방식 ,남녀공용화장실여부 ,남성용-대변기수 ,남성용-소변기수 ,남성용-장애인용대변기수 ,남성용-장애인용소변기수 ,남성용-어린이용대변기수 ,남성용-어린이용소변기수 ,여성용-대변기수 ,여성용-장애인용대변기수 ,여성용-어린이용대변기수 ,비상벨 설치유무 ,화장실입구cctv설치유무 ,기저귀교환대설치유무-남자화장실 ,기저귀교환대설치유무-남자장애인화장실 ,기저귀교환대설치유무-여자화장실 ,기저귀교환대설치유무-여자장애인화장실 ,리모델링 연도,데이터기준일자
68,공중화장실,서울교통공사,2호선,신답,서울특별시 성동구 천호대로 232(용답동),서울특별시 성동구 용답동 129-2 신답역(2호선),37.55589,126.955661,지상,1,내부,1,1층 대합실, 02-6110-1351 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,2,1,,,,3,1,,Y,Y,N,Y,N,Y,2020,2025-03-13
69,공중화장실,서울교통공사,2호선,용답,서울특별시 성동구 용답길 86(용답동),서울특별시 성동구 용답동 127 용답역(2호선),37.559493,126.963818,지상,1,외부,1,대합실, 02-6110-1341 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,3,,,,,4,,,Y,Y,N,N,Y,N, 2008이전 ,2025-03-13
70,공중화장실,서울교통공사,2호선,도림천,서울특별시 구로구 경인로67길 160(신도림동),서울특별시 구로구 신도림동 323-16 도림천역(2호선),37.637537,126.918588,지상,1,외부,1,"지상1층, 역무실 옆(게이트외)", 02-6110-2441 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,,,3,1,,Y,Y,Y,N,Y,N,2024,2025-03-13
71,공중화장실,서울교통공사,2호선,양천구청,서울특별시 양천구 목동로3길 지하33(신정동),서울특별시 양천구 신정동 276-7 양천구청역(2호선),37.618888,126.920832,지하,1,내부,1,"지하1층, 대합실(게이트내, 신청자량사업소출구 옆)", 02-6110-2451 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,4,1,,,,10,1,,Y,Y,Y,Y,Y,Y,2014,2025-03-13
72,공중화장실,서울교통공사,2호선,신정네거리,서울특별시 양천구 중앙로 지하261(신정동),서울특별시 양천구 신정동 1231 신정네거리역(2호선),37.610483,126.929288,지하,1,외부,3,"지하1층 대합실(게이트외, 2번, 3번 출구방향)", 02-6110-2461 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,,,9,1,,Y,Y,Y,Y,Y,Y,2010,2025-03-13
73,공중화장실,서울교통공사,3호선,구파발,서울특별시 은평구 진관2로 지하15-25 (진관동),서울특별시 은평구 진관동 67-26 구파발역(3호선),37.600702,126.936005,지하,1,외부,4,지하1층 대합실 가 게이트 외부, 02-6110-3201 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,3,1,,,,7,1,,Y,Y,Y,Y,Y,Y,2010,2025-03-13
74,공중화장실,서울교통공사,3호선,연신내,서울특별시 은평구 통일로 지하849(갈현동),서울특별시 은평구 갈현동 397 연신내역(3호선),37.588672,126.944227,지하,1,내부,3,지하 1층 대합실 라 게이트 내부, 02-6110-3211 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,1,,7,1,2,Y,Y,Y,Y,Y,Y,2018,2025-03-13
75,공중화장실,서울교통공사,3호선,불광,서울특별시 은평구 통일로 지하723-1(대조동),서울특별시 은평구 대조동 13-10 불광역(3호선),37.582361,126.950438,지하,1,외부,3,지하1층 대합실 나 게이트 외부, 02-6110-3221 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,1,,9,1,2,Y,Y,Y,Y,Y,Y,2015,2025-03-13
76,공중화장실,서울교통공사,3호선,녹번,서울특별시 은평구 통일로 지하602-1(녹번동),서울특별시 은평구 녹번동 55 녹번역(3호선),37.574301,126.955918,지하,1,외부,5,지하1층 대합실 게이트 외부, 02-6110-3231 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,5,1,,1,,10,1,1,Y,Y,Y,N,Y,N,2017,2025-03-13
77,공중화장실,서울교통공사,3호선,홍제,서울특별시 서대문구 통일로 지하440-1(홍제동),서울특별시 서대문구 홍제동 161-1 홍제역(3호선),37.57582,126.973058,지하,2,외부,2,지하2층 대합실 다게이트 앞, 02-6110-3241 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,,,10,1,1,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
78,공중화장실,서울교통공사,3호선,홍제,서울특별시 서대문구 통일로 지하440-1(홍제동),서울특별시 서대문구 홍제동 161-1 홍제역(3호선),37.57582,126.973058,지하,1,외부,2,지하1층 대합실 상가(다이소) 옆, 02-6110-3241 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,3,,,,,6,,,Y,Y,N,N,N,N, 2008이전 ,2025-03-13
79,공중화장실,서울교통공사,3호선,무악재,서울특별시 서대문구 통일로 지하361(홍제동),서울특별시 서대문구 홍제동 26-1 무악재역(3호선),37.576696,126.985804,지하,2,내부,1,지하2층 대합실 가게이트 내부, 02-6110-3251 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,3,1,,,,5,1,1,Y,Y,N,Y,Y,N,2021,2025-03-13
80,공중화장실,서울교통공사,3호선,독립문,서울특별시 서대문구 통일로 지하247(현저동),서울특별시 서대문구 현저동 101 독립문역(3호선),37.57446628,126.9579137,지하,2,내부, 3-1,지하1층 대합실 나게이트 내부, 02-6110-3261 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,1,,,7,1,,Y,Y,Y,Y,Y,Y,2012,2025-03-13
81,공중화장실,서울교통공사,3호선,경복궁,서울특별시 종로구 사직로 지하130(적선동),서울특별시 종로구 적선동 81-1 경복궁역(3호선),37.571196,126.991959,지하,2,내부,3,지하2층 대합실 가게이트 내부, 02-6110-3271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,5,1,,2,,11,1,2,Y,Y,Y,Y,Y,Y,2016,2025-03-13
82,공중화장실,서울교통공사,3호선,안국,서울특별시 종로구 율곡로 지하62(안국동),서울특별시 종로구 안국동 73-1 안국역(3호선),37.566412,126.994185,지하,3,외부,4,지하3층 대합실 A계단 방면, 02-6110-3281 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,4,1,,1,,8,1,2,Y,Y,Y,Y,Y,Y,2012,2025-03-13
83,공중화장실,서울교통공사,3호선,종로3가,서울특별시 종로구 종로 지하129(종로3가),서울특별시 종로구 종로3가 10-5 종로3가역(1호선),37.57156329,126.9918758,지하,3,내부,7,지하3층, 02-6110-3291 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,5,1,1,1,,15,1,2,Y,Y,Y,Y,Y,Y,2010,2025-03-13
84,공중화장실,서울교통공사,3호선,을지로3가,서울특별시 중구 을지로 지하106(을지로3가),서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),37.548038,127.015883,지하,2,내부,3,가 대합실 역무실 아래 지하 2층, 02-6110-3301 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,4,1,,,,6,1,,Y,Y,N,Y,N,Y,2019,2025-03-13
85,공중화장실,서울교통공사,3호선,동대입구,서울특별시 중구 동호로 지하256(장충동2가),서울특별시 중구 장충동2가 199-3 동대입구역(3호선),37.55905582,127.005316,지하,2,내부,6,"대합실 2층 ""가"" 게이트 앞", 02-6110-3321 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,4,1,1,1,,8,1,1,Y,Y,Y,Y,Y,Y,2010,2025-03-13
86,공중화장실,서울교통공사,3호선,약수,서울특별시 중구 다산로 지하122(신당동),서울특별시 중구 신당동 369-44 약수역(3호선),37.569744,127.046945,지하,1,내부,3,(지하1층 게이트 내 대합실), 02-6110-3331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,5,1,1,1,,9,1,,Y,Y,N,Y,Y,N,2012,2025-03-13
87,공중화장실,서울교통공사,3호선,금호,서울특별시 성동구 동호로 지하104(금호동4가),서울특별시 성동구 금호동4가 1470 금호역(3호선),37.54826092,127.0158292,지하,1,내부,4,지하1층 가 게이트 내 대합실, 02-6110-3341 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,7,1,1,1,,5,1,1,Y,Y,N,Y,Y,Y,2024,2025-03-13
88,공중화장실,서울교통공사,3호선,옥수,서울특별시 성동구 동호로 21(옥수동),서울특별시 성동구 옥수동 168-1 옥수역(3호선),37.54156628,127.0173938,지상,3,내부,3,3층 환승통로측, 02-6110-3351 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,,,8,1,,Y,Y,Y,Y,Y,Y,2017,2025-03-13
89,공중화장실,서울교통공사,3호선,옥수,서울특별시 성동구 동호로 21(옥수동),서울특별시 성동구 옥수동 168-1 옥수역(3호선),37.54156628,127.0173938,지상,3,내부,7,3층 금호역측, 02-6110-3351 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,5,,,,,2,,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
90,공중화장실,서울교통공사,3호선,압구정,서울특별시 강남구 압구정로 지하172(신사동),서울특별시 강남구 신사동 668 압구정역(3호선),37.513082,127.011857,지하,1,외부,5,지하 1층, 02-6110-3361 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,6,1,,1,,9,1,1,Y,Y,N,Y,Y,N,2009,2025-03-13
91,공중화장실,서울교통공사,3호선,신사,서울특별시 강남구 도산대로 지하102(신사동),서울특별시 강남구 신사동 667 신사역(3호선),37.494847,127.017286,지하,1,내부,4,지하 1층, 02-6110-3371 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,1,,8,1,1,Y,Y,Y,N,Y,Y,2009,2025-03-13
92,공중화장실,서울교통공사,3호선,잠원,서울특별시 서초구 잠원로4길 지하46(잠원동),서울특별시 서초구 잠원동 100-1 잠원역(3호선),37.486661,127.015218,지하,1,내부,4,지하1층 게이트 내 대합실, 02-6110-3381 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,1,,7,1,2,Y,Y,Y,Y,Y,Y,2017,2025-03-13
93,공중화장실,서울교통공사,3호선,교대,서울특별시 서초구 서초대로 지하294(서초동),서울특별시 서초구 서초동 1748-4 교대역(2호선),37.484761,127.033371,지하,1,외부,12,"대합실1층 역무실 맞은편,게이트외", 02-6110-3401 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,2,1,13,1,3,Y,Y,Y,Y,Y,Y,2009,2025-03-13
94,공중화장실,서울교통공사,3호선,남부터미널,서울특별시 서초구 서초중앙로 지하31(서초동),서울특별시 서초구 서초동 1748-30 남부터미널역(3호선),37.486941,127.046621,지하,2,내부,1,대합실 B2층 역무실 앞, 02-6110-3411 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,1,1,8,1,,Y,Y,Y,N,Y,N,2009,2025-03-13
95,공중화장실,서울교통공사,3호선,양재,서울특별시 서초구 남부순환로 지하2585(서초동),서울특별시 서초구 서초동 1366-9 양재역(3호선),37.490825,127.055306,지하,1,내부,4,"대합실 B1층 상선 방향(9-4), 게이트 내", 02-6110-3421 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,4,1,,,,6,1,,Y,Y,N,Y,N,Y,2019,2025-03-13
96,공중화장실,서울교통공사,3호선,매봉,서울특별시 강남구 남부순환로 지하2744(도곡동),서울특별시 강남구 도곡동 179-2 매봉역(3호선),37.494543,127.063426,지하,1,외부,2,대합실 B1층 게이트옆, 02-6110-3431 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,1,,9,1,1,Y,Y,N,Y,N,Y,2019,2025-03-13
97,공중화장실,서울교통공사,3호선,도곡,서울특별시 강남구 남부순환로 지하2814(도곡동),서울특별시 강남구 도곡동 339-2 도곡역(3호선),37.496679,127.071705,지하,2,외부,4,대합실  B2층  게이트 밬, 02-6110-3441 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,1,,9,1,1,Y,Y,N,Y,Y,Y,2019,2025-03-13
98,공중화장실,서울교통공사,3호선,대치,서울특별시 강남구 남부순환로 지하2952(대치동),서울특별시 강남구 대치동 317-3 대치역(3호선),37.493686,127.079479,지하,1,내부,6,대합실 B1층 역무실 앞, 02-6110-3451 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,1,,8,1,2,Y,Y,Y,Y,Y,Y,2015,2025-03-13
99,공중화장실,서울교통공사,3호선,학여울,서울특별시 강남구 남부순환로 지하3104(대치동),서울특별시 강남구 대치동 514-3 학여울역(3호선),37.483953,127.084413,지하,4,외부,1,대합실 B4층 외부 E/V 옆 (게이트외), 02-6110-3461 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,4,1,,1,,8,1,2,Y,Y,Y,Y,Y,Y,2018,2025-03-13
100,공중화장실,서울교통공사,3호선,대청,서울특별시 강남구 일원로 지하2(일원동),서울특별시 강남구 일원동 700-9 대청역(3호선),37.48735,127.101842,지하,2,내부,4,대합실  B2층 상선 게이트안, 02-6110-3471 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,3,1,,1,,6,1,1,Y,Y,Y,Y,Y,Y,2020,2025-03-13
101,공중화장실,서울교통공사,3호선,일원,서울특별시 강남구 일원로 지하121(일원동),서울특별시 강남구 일원동 717 일원역(3호선),37.48398867,127.0841298,지하,2,외부,7,"대합실 B2층 7번출구옆, 역무실 앞", 02-6110-3481 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,,,8,1,,Y,Y,Y,Y,Y,Y,2018,2025-03-13
102,공중화장실,서울교통공사,3호선,수서,서울특별시 강남구 광평로 지하270(수서동),서울특별시 강남구 수서동 728 수서역(3호선),37.48756025,127.1024105,지하,1,내부,2,대합실 B1층 역무실좌측(게이트내), 02-6110-3491 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,1,1,8,1,1,Y,Y,Y,Y,Y,Y,2009,2025-03-13
103,공중화장실,서울교통공사,3호선,가락시장,서울특별시 송파구 송파대로 지하257(가락동),서울특별시 송파구 가락동 184-23 가락시장역(3호선),37.49224932,127.1176417,지하,2,내부,2,대합실 B2층 고객상담실앞(게이트내), 02-6110-3501 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,2,1,,,,5,1,,Y,Y,Y,N,Y,N,2010,2025-03-13
104,공중화장실,서울교통공사,3호선,가락시장,서울특별시 송파구 송파대로 지하257(가락동),서울특별시 송파구 가락동 184-23 가락시장역(3호선),37.49224932,127.1176417,지하,2,외부,2,대합실 B2층 고객상담실앞(게이트외), 02-6110-3501 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,,,,,8,,,Y,Y,Y,N,Y,N,2010,2025-03-13
105,공중화장실,서울교통공사,3호선,경찰병원,서울특별시 송파구 중대로 지하149(가락동),서울특별시 송파구 가락동 10-15 경찰병원역(3호선),37.49600492,127.1244824,지하,1,내부,2,대합실 B1층 역무실 앞(게이트내), 02-6110-3512 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,3,1,,,,2,1,,Y,Y,Y,N,Y,N,2010,2025-03-13
106,공중화장실,서울교통공사,3호선,경찰병원,서울특별시 송파구 중대로 지하149(가락동),서울특별시 송파구 가락동 10-15 경찰병원역(3호선),37.49600492,127.1244824,지하,1,외부,2,대합실 B1층 고객안내부스옆(게이트외), 02-6110-3512 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,,,,,11,,,Y,Y,Y,N,Y,N,2010,2025-03-13
107,공중화장실,서울교통공사,3호선,오금,서울특별시 송파구 오금로 지하321(오금동),서울특별시 송파구 오금동 44-2 오금역(3호선),37.50232209,127.1284828,지하,1,내부,2,"대합실 B1층 1,2번출구옆(게이트내)", 02-6110-3522 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,2,1,,,,2,1,,Y,Y,Y,N,Y,N,2010,2025-03-13
108,공중화장실,서울교통공사,3호선,오금,서울특별시 송파구 오금로 지하321(오금동),서울특별시 송파구 오금동 44-2 오금역(3호선),37.50232209,127.1284828,지하,1,외부,2,"대합실 B1층 1,2번출구옆(게이트외)", 02-6110-3522 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,3,1,1,,,11,1,,Y,Y,Y,N,Y,N,2010,2025-03-13
109,공중화장실,서울교통공사,4호선,당고개,서울특별시 노원구 상계로 305(상계동),서울특별시 노원구 상계동 111 당고개역(4호선),37.67021684,127.0790666,지상,1,외부,4,"대합실 1층 (1,4 출구방향)", 02-6110-4091 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,2,1,1,1,,4,1,1,Y,Y,N,Y,Y,Y,2010,2025-03-13
110,공중화장실,서울교통공사,4호선,당고개,서울특별시 노원구 상계로 305(상계동),서울특별시 노원구 상계동 111 당고개역(4호선),37.67021684,127.0790666,지상,2,외부,3,대합실 2층 역무실 앞, 02-6110-4091 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,9,,,,,7,,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
111,공중화장실,서울교통공사,4호선,상계,서울특별시 노원구 상계로 182(상계동),서울특별시 노원구 상계동 156-203 상계역(4호선),37.648811,127.034866,지상,2,내부,4,2층 대합실 나게이트 안, 02-6110-4101 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,2,,8,1,2,Y,Y,N,Y,Y,Y,2010,2025-03-13
112,공중화장실,서울교통공사,4호선,노원,서울특별시 노원구 상계로 69-1(상계동),서울특별시 노원구 상계동 602-5 노원역(4호선),37.639775,127.027208,지상,2,내부,9,2층 대합실 나게이트 안, 02-6110-4111 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,6,1,,2,,15,1,2,Y,Y,Y,Y,Y,Y,2013,2025-03-13
113,공중화장실,서울교통공사,4호선,창동,서울특별시 도봉구 마들로11길 77(창동),서울특별시 도봉구 창동 135-1 창동역(4호선),37.629878,127.024714,지상,2,내부,1,2층 대합실 나게이트 안, 02-6110-4121 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,7,1,,1,,17,1,1,Y,Y,N,Y,Y,Y,2009,2025-03-13
114,공중화장실,서울교통공사,4호선,쌍문,서울특별시 도봉구 도봉로 지하 486-1(창동),서울특별시 도봉구 창동 703-4 쌍문역(4호선),37.615104,127.030046,지하,1,외부,2,지하1층 나환기실 옆, 02-6110-4131 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,5,1,,,,11,1,,Y,Y,Y,Y,Y,Y,2015,2025-03-13
115,공중화장실,서울교통공사,4호선,수유,서울특별시 강북구 도봉로 지하338(수유동),서울특별시 강북구 수유동 140 수유역(4호선),37.603225,127.024965,지하,1,내부,2,"대합실 지하1층 역무실 옆(2,8번 출구방향)", 02-6110-4141 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,6,1,,,,9,1,1,Y,Y,N,Y,Y,Y,2010,2025-03-13
116,공중화장실,서울교통공사,4호선,미아,서울특별시 강북구 도봉로 지하198(미아동),서울특별시 강북구 미아동 194-1 미아역(4호선),37.593048,127.016714,지하,1,외부,6,"대합실 지하1층 교양휴게실 앞 (3,4번 게이트방향)", 02-6110-4151 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,,,7,1,,Y,Y,Y,N,Y,N,2022,2025-03-13
117,공중화장실,서울교통공사,4호선,미아사거리,서울특별시 강북구 도봉로 지하50(미아동),서울특별시 강북구 미아동 66-1 미아사거리역(4호선),37.492504,126.894962,지하,1,외부,6,지하1층 역무실 옆, 02-6110-4161 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,6,1,,1,,12,1,1,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
118,공중화장실,서울교통공사,4호선,길음,서울특별시 성북구 동소문로 지하248(길음동),서울특별시 성북구 길음동 877-66 길음역(4호선),37.581893,127.001953,지하,1,외부,5,지하1층 대합실 가게이트 밖, 02-6110-4171 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,5,1,,2,,12,1,2,Y,Y,Y,Y,Y,Y,2013,2025-03-13
119,공중화장실,서울교통공사,4호선,성신여대입구,서울특별시 성북구 동소문로 지하102(동선동4가),서울특별시 성북구 동선동4가 1 성신여대입구역(4호선),37.570385,127.009529,지하,1,내부,4,지하1층 고객 안내부스에서 10m 안쪽, 02-6110-4181 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,6,1,1,2,,10,1,,Y,Y,Y,Y,Y,Y,2011,2025-03-13
120,공중화장실,서울교통공사,4호선,한성대입구,서울특별시 성북구 삼선교로 지하1(삼선동1가),서울특별시 성북구 삼선동1가 14 한성대입구역(4호선),37.58842461,127.0060178,지하,1,외부,7,"1번출구방향, 가게이트 쪽(게이트외)", 02-6110-4191 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,7,,,,,6,,,Y,Y,Y,N,Y,N, 2008이전 ,2025-03-13
121,공중화장실,서울교통공사,4호선,혜화,서울특별시 종로구 대학로 지하120(명륜4가),서울특별시 종로구 명륜4가 96-5 혜화역(4호선),37.58204392,127.0194501,지하,1,외부,3,(지하1층 3번출구 방면), 02-6110-4201 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,6,1,,,,10,1,,Y,Y,N,Y,Y,Y,2009,2025-03-13
122,공중화장실,서울교통공사,4호선,동대문,서울특별시 종로구 종로 지하302(창신동),서울특별시 종로구 창신동 492-1 동대문역(1호선),37.561159,126.994398,지하,2,내부,9,지하2층, 02-6110-4211 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,2,4,1,,1,,6,1,,Y,Y,N,Y,N,Y,2019,2025-03-13
123,공중화장실,서울교통공사,4호선,동대문역사문화공원,서울특별시 중구 을지로 지하279(을지로7가),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),37.56514371,127.0079152,지하,1,외부,8,"지하1층 10,11번 기둥앞", 02-6110-4221 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,1,,12,1,1,Y,Y,Y,Y,Y,Y,2010,2025-03-13
124,공중화장실,서울교통공사,4호선,동대문역사문화공원,서울특별시 중구 을지로 지하279(을지로7가),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),37.56514371,127.0079152,지하,2,내부,8,지하2층 내부계단 옆, 02-6110-4221 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,5,1,,,,12,1,,Y,Y,Y,Y,Y,Y,2010,2025-03-13
125,공중화장실,서울교통공사,4호선,충무로,서울특별시 중구 퇴계로 지하214(필동2가),서울특별시 중구 필동2가 16-2 충무로역(3호선),37.535982,126.971351,지하,2,내부,3,"지하2층 3,4,5,6,7번 출구쪽, 게이트내", 02-6110-4231 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,6,5,1,,,1,14,1,1,Y,Y,Y,N,Y,N,2012,2025-03-13
126,공중화장실,서울교통공사,4호선,명동,서울특별시 중구 퇴계로 지하126(충무로2가),서울특별시 중구 충무로2가 109-2 명동역(4호선),37.545528,126.97197,지하,1,내부,5,"지하1층 2,3,4,5,6,7,8번 출구쪽, 게이트내", 02-6110-4241 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,,,9,1,1,Y,Y,Y,Y,Y,Y,2017,2025-03-13
127,공중화장실,서울교통공사,4호선,회현,서울특별시 중구 퇴계로 지하54(남창동),서울특별시 중구 남창동 64-1 회현역(4호선),37.534394,126.973014,지하,2,내부,3,게이트내 지하2층 , 02-6110-4251 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,4,1,1,1,,8,1,2,Y,Y,Y,Y,Y,Y,2012,2025-03-13
128,공중화장실,서울교통공사,4호선,서울,서울특별시 중구 세종대로 지하2(남대문로 5가),서울특별시 중구 남대문로5가 73-6 서울역(1호선),37.529364,126.968299,지하,1,외부,11,"14번 출구  옆, 11번 출구 물품보관함 건너편", 02-6110-4261 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,4,1,,1,,10,1,1,Y,Y,Y,Y,Y,Y,2015,2025-03-13
129,공중화장실,서울교통공사,4호선,숙대입구,서울특별시 용산구 한강대로 지하306(갈월동),서울특별시 용산구 갈월동 16-7 숙대입구역(4호선),37.522481,126.973671,지하,1,외부,9,지하1층 가대합실과 나대합실 연결통로 가운데 위치, 02-6110-4271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,6,1,1,2,,10,1,2,Y,Y,Y,Y,Y,Y,2012,2025-03-13
130,공중화장실,서울교통공사,4호선,삼각지,서울특별시 용산구 한강대로 지하180(한강로1가),서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),37.503465,126.979927,지하,1,외부,3,신용산측, 02-6110-4281 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,3,1,,,,9,1,1,Y,Y,Y,Y,Y,Y,2010,2025-03-13
131,공중화장실,서울교통공사,4호선,신용산,서울특별시 용산구 한강대로 지하112(한강로2가),서울특별시 용산구 한강로2가 181 신용산역(4호선),37.487514,126.982162,지하,1,외부,4,지하1층 삼각지측, 02-6110-4291 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,6,1,,1,,10,1,1,Y,Y,Y,Y,Y,Y,2016,2025-03-13
132,공중화장실,서울교통공사,4호선,이촌,서울특별시 용산구 서빙고로 지하83(용산동5가),서울특별시 용산구 용산동5가 17-112 이촌역(4호선),37.52237348,126.9745201,지하,1,내부,3,지하1층 3번출구 앞, 02-6110-4301 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,4,1,,,,11,1,,Y,Y,Y,Y,Y,Y,2012,2025-03-13
133,공중화장실,서울교통공사,4호선,동작,서울특별시 동작구 현충로 257(동작동),서울특별시 동작구 동작동 327-1 동작역(4호선),37.50297958,126.9803148,지상,2,내부,1,대합실 2층 구내식당좌측, 02-6110-4311 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,5,5,1,1,1,,15,1,1,Y,Y,N,Y,N,Y,2010,2025-03-13
134,공중화장실,서울교통공사,4호선,총신대입구,서울특별시 동작구 동작대로 지하117(사당동),서울특별시 동작구 사당동 736-1 총신대입구(이수)역(4호선),37.4867996,126.9822119,지하,1,내부,1,지하1층 동작측, 02-6110-4321 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,1,,7,1,2,Y,Y,Y,Y,Y,Y,2016,2025-03-13
135,공중화장실,서울교통공사,4호선,사당,서울특별시 동작구 남부순환로 지하2089(사당동),서울특별시 동작구 사당동 1129 사당역(2호선),37.47759121,126.9816985,지하,1,외부,12,(지하1층 총신대측), 02-6110-4331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,3,4,1,,,,6,1,,Y,Y,N,Y,Y,Y,2009,2025-03-13
136,공중화장실,서울교통공사,4호선,사당,서울특별시 동작구 남부순환로 지하2089(사당동),서울특별시 동작구 사당동 1129 사당역(2호선),37.47759121,126.9816985,지하,1,외부,3,(지하1층 남태령측), 02-6110-4331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,7,1,,,,12,1,,Y,Y,N,Y,Y,Y,2009,2025-03-13
137,공중화장실,서울교통공사,4호선,사당,서울특별시 동작구 남부순환로 지하2089(사당동),서울특별시 동작구 사당동 1129 사당역(2호선),37.47759121,126.9816985,지하,2,내부,12,(지하2층 환승통로), 02-6110-4331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,4,5,1,,,,9,1,,Y,Y,Y,Y,Y,Y,2020,2025-03-13
